beta,gamma,checkpoint,P20,P50,P80,stability_score,top1
0.25,0.25,ckpt_12000,0.48866,0.5603,0.63194,0.5603,ckpt_16000
0.25,0.25,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.44215000000000004,ckpt_16000
0.25,0.5,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.8233375,ckpt_16000
0.25,0.5,ckpt_8000,0.583,0.6540999999999999,0.7252,0.671875,ckpt_16000
0.25,0.5,ckpt_20000,0.64938,0.65985,0.67032,0.6624675,ckpt_16000
0.25,0.5,ckpt_4000,0.49302,0.60765,0.72228,0.6363075,ckpt_16000
0.25,0.5,ckpt_12000,0.48866,0.5603,0.63194,0.57821,ckpt_16000
0.25,0.5,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.46063750000000003,ckpt_16000
0.5,0.0,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.811075,ckpt_16000
0.5,0.0,ckpt_20000,0.64938,0.65985,0.67032,0.654615,ckpt_16000
0.5,0.0,ckpt_8000,0.583,0.6540999999999999,0.7252,0.6185499999999999,ckpt_16000
0.5,0.0,ckpt_4000,0.49302,0.60765,0.72228,0.550335,ckpt_16000
0.5,0.0,ckpt_12000,0.48866,0.5603,0.63194,0.5244800000000001,ckpt_16000
0.5,0.0,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.40517500000000006,ckpt_16000
0.5,0.1,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.81271,ckpt_16000
0.5,0.1,ckpt_20000,0.64938,0.65985,0.67032,0.655662,ckpt_16000
0.5,0.1,ckpt_8000,0.583,0.6540999999999999,0.7252,0.6256599999999999,ckpt_16000
0.5,0.1,ckpt_4000,0.49302,0.60765,0.72228,0.561798,ckpt_16000
0.5,0.1,ckpt_12000,0.48866,0.5603,0.63194,0.531644,ckpt_16000
0.5,0.1,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.41257000000000005,ckpt_16000
0.5,0.25,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.8151625,ckpt_16000
0.5,0.25,ckpt_20000,0.64938,0.65985,0.67032,0.6572324999999999,ckpt_16000
0.5,0.25,ckpt_8000,0.583,0.6540999999999999,0.7252,0.6363249999999999,ckpt_16000
0.5,0.25,ckpt_4000,0.49302,0.60765,0.72228,0.5789925,ckpt_16000
0.5,0.25,ckpt_12000,0.48866,0.5603,0.63194,0.54239,ckpt_16000
0.5,0.25,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.42366250000000005,ckpt_16000
0.5,0.5,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.81925,ckpt_16000
0.5,0.5,ckpt_20000,0.64938,0.65985,0.67032,0.6598499999999999,ckpt_16000
0.5,0.5,ckpt_8000,0.583,0.6540999999999999,0.7252,0.6540999999999999,ckpt_16000
0.5,0.5,ckpt_4000,0.49302,0.60765,0.72228,0.60765,ckpt_16000
0.5,0.5,ckpt_12000,0.48866,0.5603,0.63194,0.5603,ckpt_16000
0.5,0.5,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.44215000000000004,ckpt_16000
0.75,0.0,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.8069875000000001,ckpt_16000
0.75,0.0,ckpt_20000,0.64938,0.65985,0.67032,0.6519975,ckpt_16000
0.75,0.0,ckpt_8000,0.583,0.6540999999999999,0.7252,0.600775,ckpt_16000
0.75,0.0,ckpt_4000,0.49302,0.60765,0.72228,0.5216775,ckpt_16000
0.75,0.0,ckpt_12000,0.48866,0.5603,0.63194,0.50657,ckpt_16000
0.75,0.0,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.3866875,ckpt_16000
0.75,0.1,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.8086225,ckpt_16000
0.75,0.1,ckpt_20000,0.64938,0.65985,0.67032,0.6530445,ckpt_16000
0.75,0.1,ckpt_8000,0.583,0.6540999999999999,0.7252,0.607885,ckpt_16000
0.75,0.1,ckpt_4000,0.49302,0.60765,0.72228,0.5331405,ckpt_16000
0.75,0.1,ckpt_12000,0.48866,0.5603,0.63194,0.5137339999999999,ckpt_16000
0.75,0.1,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.3940825,ckpt_16000
0.75,0.25,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.8110750000000001,ckpt_16000
0.75,0.25,ckpt_20000,0.64938,0.65985,0.67032,0.654615,ckpt_16000
0.75,0.25,ckpt_8000,0.583,0.6540999999999999,0.7252,0.6185499999999999,ckpt_16000
0.75,0.25,ckpt_4000,0.49302,0.60765,0.72228,0.550335,ckpt_16000
0.75,0.25,ckpt_12000,0.48866,0.5603,0.63194,0.52448,ckpt_16000
0.75,0.25,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.405175,ckpt_16000
0.75,0.5,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.8151625,ckpt_16000
0.75,0.5,ckpt_20000,0.64938,0.65985,0.67032,0.6572325,ckpt_16000
0.75,0.5,ckpt_8000,0.583,0.6540999999999999,0.7252,0.636325,ckpt_16000
0.75,0.5,ckpt_4000,0.49302,0.60765,0.72228,0.5789925,ckpt_16000
0.75,0.5,ckpt_12000,0.48866,0.5603,0.63194,0.5423899999999999,ckpt_16000
0.75,0.5,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.4236625,ckpt_16000
1.0,0.0,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.8029000000000001,ckpt_16000
1.0,0.0,ckpt_20000,0.64938,0.65985,0.67032,0.64938,ckpt_16000
1.0,0.0,ckpt_8000,0.583,0.6540999999999999,0.7252,0.583,ckpt_16000
1.0,0.0,ckpt_4000,0.49302,0.60765,0.72228,0.49302,ckpt_16000
1.0,0.0,ckpt_12000,0.48866,0.5603,0.63194,0.48866,ckpt_16000
1.0,0.0,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.3682,ckpt_16000
1.0,0.1,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.804535,ckpt_16000
1.0,0.1,ckpt_20000,0.64938,0.65985,0.67032,0.650427,ckpt_16000
1.0,0.1,ckpt_8000,0.583,0.6540999999999999,0.7252,0.5901099999999999,ckpt_16000
1.0,0.1,ckpt_4000,0.49302,0.60765,0.72228,0.504483,ckpt_16000
1.0,0.1,ckpt_12000,0.48866,0.5603,0.63194,0.495824,ckpt_16000
1.0,0.1,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.375595,ckpt_16000
1.0,0.25,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.8069875000000001,ckpt_16000
1.0,0.25,ckpt_20000,0.64938,0.65985,0.67032,0.6519975,ckpt_16000
1.0,0.25,ckpt_8000,0.583,0.6540999999999999,0.7252,0.600775,ckpt_16000
1.0,0.25,ckpt_4000,0.49302,0.60765,0.72228,0.5216775,ckpt_16000
1.0,0.25,ckpt_12000,0.48866,0.5603,0.63194,0.50657,ckpt_16000
1.0,0.25,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.3866875,ckpt_16000
1.0,0.5,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.811075,ckpt_16000
1.0,0.5,ckpt_20000,0.64938,0.65985,0.67032,0.654615,ckpt_16000
1.0,0.5,ckpt_8000,0.583,0.6540999999999999,0.7252,0.6185499999999999,ckpt_16000
1.0,0.5,ckpt_4000,0.49302,0.60765,0.72228,0.550335,ckpt_16000
1.0,0.5,ckpt_12000,0.48866,0.5603,0.63194,0.52448,ckpt_16000
1.0,0.5,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.405175,ckpt_16000
